"","Rs","NH4","pH","SOC","TN","NO3","Water_content","Temp.","Plot","Date","Location","Ecosystem_type","Lat.","Lon.","Elevation","Samples_per_plot","Cord.","Cond.","v_axis","h_axis","Sample_ID","Bac_shannon","Bac_richness","Bac_PD","Bac_disper","Fug_shannon","Fug_richness","Fug_PD","Fug_disper"
"L1_H0",1.84,12.45,7.16,5.6393325,0.1911693,17.375,21.684,16.45,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,0,"L1_H0",7.65881454048959,7328,254.790192531,0.390798434278561,4.28016633941783,881,170.970893476,0.505899892287024
"L1_H1",2.33,11.325,6.52,6.9107652,0.2150201,10.59,22.813,16.37,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,5,"L1_H1",7.11070131907095,6503,240.820642984,0.445869765368231,3.21533094976444,474,91.5822935485,0.598578978201581
"L1_H2",1.15,15.175,6.65,4.2596679,0.3346435,8.73,21.668,16.25,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,10,"L1_H2",7.96834701405392,8400,279.384333452,0.395559270415272,2.68084406603134,747,124.2537802685,0.485291730326292
"L1_H3",0.54,18.825,6.67,3.9587901,0.2054392,16.79,23.45,16.13,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,25,"L1_H3",7.86319140709533,8438,271.93613814,0.414408261224498,4.49897888723079,1010,151.1603118745,0.503016514639883
"L1_H4",1.79,10.55,6.62,5.3584905,0.2261701,15.535,22.829,15.62,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,50,"L1_H4",7.62402121231924,7561,257.59943161,0.451513247301939,1.87388547761661,653,123.2071924805,0.630744983617696
"L1_H5",1.49,8.775,6.61,8.7045006,0.1674277,16.415,23.825,16.5,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,100,"L1_H5",7.64410535277608,6693,233.839549832,0.651514887863977,3.13151356429505,727,145.6209274625,0.731152443772819
"L1_V1",2.01,22.575,6.37,9.2616008,0.4643853,7.455,23.713,16.42,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,5,0,"L1_V1",7.1112666138543,6402,227.686360312,0.476045969024742,2.53785486490556,613,96.3218865455,0.52598426112398
"L1_V2",1.66,15.2,6.38,7.017101,0.2156413,16.735,24.789,16.87,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,10,0,"L1_V2",6.74924394101506,6261,230.765090103,0.464012359536866,3.93177772933856,852,152.4126175455,0.452057354983003
"L1_V3",1.05,13.975,6.32,3.774663,0.1526914,17.175,24.013,16.5,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,25,0,"L1_V3",7.10928096382775,6720,247.462895726,0.43863819388297,3.5801648351712,803,153.1814239155,0.468686097265291
"L1_V4",2.13,9.65,6.42,6.5052919,0.3405525,2.28,23.911,16.31,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,50,0,"L1_V4",7.51191105152301,7191,250.082786661,0.55183797777174,4.06520280543993,816,131.3385397455,0.555921629725477
"L1_V5",0.95,8.425,6.77,9.9955899,0.1765589,15.85,24.423,16.53,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,100,0,"L1_V5",7.58771224507512,7609,259.262844907,0.415639525696944,3.81168694331155,731,115.3190053785,0.617405231121007
"L10_H0",3.86,5.975,6.56,8.6375081,0.384087,19.67,20.3,30.4,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1078,0,0,"L10_H0",8.27891931260375,8932,291.0408300735,0.366565669750769,2.2594943312582,844,151.8331364575,0.51363870046045
"L10_H1",1.97,4.325,6.49,8.3033977,0.3741607,14.51,17.9,29.3,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",953,0,5,"L10_H1",8.29007396800594,8247,294.648270437,0.486294942149522,2.79251635376413,829,148.5087912485,0.687897661884002
"L10_H2",0.95,9.775,6.61,6.8609802,0.3128262,7.505,22.2,29.1,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",184,0,10,"L10_H2",8.2248699690633,8756,290.163626268,0.356776918087623,1.83246410365289,673,135.6172858965,0.54518367777606
"L10_H3",1.21,5,6.59,7.5679545,0.3734098,14.43,21.1,30.6,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1122,0,25,"L10_H3",8.48237068665633,9867,307.491655182,0.411424348139797,1.28676486502918,682,125.4320288315,0.62406623637549
"L10_H4",1.7,13.4,6.52,10.460597,0.5093926,8.835,15.2,33.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",822,0,50,"L10_H4",8.15690074045627,8047,280.88491045,0.388609030999691,4.4800684153361,1077,188.6750730915,0.542914071305377
"L10_H5",2.6,9.375,6.49,8.0610162,0.3464686,7.145,23.3,33.9,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1243,0,100,"L10_H5",8.32896809326456,8843,297.306793312,0.395723287067078,5.00603141174645,1149,213.2457851225,0.593361140477113
"L10_V1",2.81,9.15,6.34,13.250547,0.5123408,27.755,15.4,31.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",831,5,0,"L10_V1",8.17985180186294,9209,295.123621952,0.337226890156926,3.13686374490292,943,188.185033788,0.498797581848941
"L10_V2",3.55,6.025,6.48,10.254399,0.4284353,31.32,20.5,30.4,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1092,10,0,"L10_V2",8.07545465428979,8736,277.717875061,0.43255629874268,4.67519772743612,1229,212.5971655025,0.535649498239633
"L10_V3",2.57,5.375,6.68,8.7450628,0.3939445,21.975,11.2,30.7,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",641,25,0,"L10_V3",8.1327186403228,8383,278.773562936,0.429146139269825,4.58466896512673,1068,190.4413336495,0.465375051495411
"L10_V4",2.16,4.825,6.48,11.117381,0.3610473,23.975,15.4,31.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",833,50,0,"L10_V4",8.40752797627392,9696,291.663293498,0.495003360512851,4.67426853730513,1312,214.8031061665,0.560758263532197
"L10_V5",2.72,5.225,6.28,11.240118,0.432266,48.032,19.2,33.8,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1023,100,0,"L10_V5",8.12468100977017,8712,282.303022652,0.41564471827171,5.2836054020668,1363,230.0684575855,0.636658510468067
"L11_H0",0.82,4.5,6.45,5.7571265,0.2815403,10.615,10.1,27.3,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",590,0,0,"L11_H0",7.8728036253588,7267,237.907808138,0.537725956870987,4.14898632787789,828,184.8744387715,0.606111305068277
"L11_H1",2.1,5.15,6.48,7.7701723,0.3802358,12.94,18,26.2,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",958,0,5,"L11_H1",8.16391932921321,9005,282.786156133,0.427741385589026,4.7036638078389,1459,234.5447080005,0.541610289870696
"L11_H2",2.38,3.675,6.27,10.63031,0.5173416,19.93,14.2,26.3,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",776,0,10,"L11_H2",8.2174612481096,8813,267.79477831,0.394457301929152,3.31296376408743,829,220.0416266675,0.634143836448175
"L11_H3",1.99,4.475,6.47,6.0398254,0.2915719,10.68,9.7,26.6,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",576,0,25,"L11_H3",8.31721991434003,9206,278.16610536,0.37957823631146,3.47312000999708,1001,263.3153219935,0.570915636353202
"L11_H4",0.99,5.075,6.38,4.891227,0.2384123,12.69,13,26.4,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",723,0,50,"L11_H4",8.27221253789283,9100,279.9954658,0.375591858755113,5.11023270560421,1377,231.9845956485,0.520312067676406
"L11_H5",1.05,4.15,6.37,3.7655204,0.2021856,5.99,14.3,26.5,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",780,0,100,"L11_H5",8.060540222433,8244,260.73070074,0.498551884863564,4.81892537827227,992,226.3798087235,0.573679328080336
"L11_V1",1.83,4.075,6.27,7.6758414,0.3758694,14.39,8.6,25.9,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",530,5,0,"L11_V1",8.15821136731984,8444,261.160420469,0.359010415074073,3.59999662796206,873,206.5960753205,0.597069113638141
"L11_V2",2.52,3.8,6.15,7.5375136,0.238538,14.15,14.7,26.4,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",798,10,0,"L11_V2",8.18463128520339,8353,260.098525577,0.406278678193353,5.02682419628288,1250,280.4557641445,0.570298676147902
"L11_V3",2.82,4.125,6.45,7.6924158,0.3484666,6.28,13.1,26.3,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",727,25,0,"L11_V3",8.13262529238194,8570,256.827242536,0.376276985047399,4.52495861874386,989,184.2999576845,0.581237345453426
"L11_V4",4.04,6,6.32,6.669737,0.2737477,6.045,15.1,26,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",818,50,0,"L11_V4",7.86140459409132,7292,240.635295864,0.498899601973844,3.86349126371993,893,182.2316556825,0.66579038420716
"L11_V5",3.72,4.5,6.13,7.2868736,0.3285177,7.18,18.3,26.4,"L11","2019.07.20","Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",26.54233333,98.93433333,1090,11,"98.9343333333333E 26.5423333333333N",975,100,0,"L11_V5",8.17777671114994,8777,271.078909886,0.390300578160905,4.47057026825194,999,178.7569887805,0.612263016382727
"L12_H0",1.15,4.525,6.15,5.5505504,0.2574888,11.285,5.2,32.3,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",388,0,0,"L12_H0",8.10898250100157,8792,284.881801956,0.336844516504427,4.99092718268292,1266,231.1039783955,0.501747330976095
"L12_H1",1.85,3.475,6.38,5.5014856,0.2228817,6.965,6.3,32,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",435,0,5,"L12_H1",8.25399744342263,9036,282.902272364,0.389269642173476,5.56060166549363,1273,234.7408129715,0.477677926106513
"L12_H2",1.84,3.95,6.08,5.2664931,0.2465452,10.655,7.3,32.8,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",475,0,10,"L12_H2",8.12503395271827,8769,276.307787177,0.325611591629052,4.85280339258295,1270,204.7190959215,0.488289984091648
"L12_H3",1.1,3.625,6.14,6.7014919,0.3133573,6.1,6.8,32.8,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",545,0,25,"L12_H3",8.09479104588831,8612,274.2998187,0.406742814077138,4.69048760788417,1235,263.7337157125,0.50346221263882
"L12_H4",0.67,4.7,6.35,5.9629051,0.3352991,7.69,7.9,32.4,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",588,0,50,"L12_H4",8.18477793340411,8644,278.563453859,0.373800000393954,5.10135510651111,1216,212.9428996695,0.478698369166074
"L12_H5",2.2,5,6.41,3.1879738,0.1421528,8.515,10.9,32.5,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",629,0,100,"L12_H5",8.25955635173491,8537,280.177598679,0.456405224285757,4.53081274203579,1046,190.9639834525,0.548202099937491
"L12_V1",1.69,4.775,6.44,4.8205052,0.240039,5.535,10.2,34.7,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",597,5,0,"L12_V1",8.06828464950895,8568,273.749201167,0.41724508508119,5.29566766198314,1345,227.6928416325,0.563312489154912
"L12_V2",2.28,5.175,6.16,5.8597179,0.3089124,18.825,9.1,32,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",549,10,0,"L12_V2",8.21469559477457,9163,288.145110612,0.345523202531148,5.0165419734626,1217,213.4938005415,0.490805993869991
"L12_V3",0.76,4.65,6.39,4.8793847,0.1910583,8.24,1.6,32.1,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",251,25,0,"L12_V3",8.12501789326583,8641,275.422641981,0.408474407192895,4.83505209530266,1147,193.9590709145,0.493449218675896
"L12_V4",1.9,4.875,6.32,4.7680658,0.1853246,11.525,3.3,32.2,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",314,50,0,"L12_V4",8.15410554762203,9027,279.03972989,0.337085386889513,4.90558391275766,1143,201.9432572375,0.508157815644089
"L12_V5",0.89,4.475,6.49,3.7324461,0.1400803,6.395,11,33.5,"L12","2019.07.20","Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Evergreen forest",25.97166667,98.86033333,853,11,"98.8603333333333E 25.9716666666667N",447,100,0,"L12_V5",8.15916979620678,8514,279.126257255,0.470959395019373,5.00827963200726,1200,208.3616824155,0.472120127224801
"L2_H0",1.63,13.775,6.14,10.506255,0.3783615,16.74,17.4,10.3,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",931,0,0,"L2_H0",7.71534162085442,7109,253.146777206,0.318580534571456,2.63480663650153,528,128.6675363615,0.599514555537944
"L2_H1",1.87,19.375,5.99,8.9586991,0.4944468,13.385,17.2,11.7,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",921,0,5,"L2_H1",7.52880832385933,6601,235.632819995,0.345900285583823,3.56045856762712,740,156.6841079545,0.386428603788024
"L2_H2",1.74,15.5,5.76,11.1323,0.4520825,7.62,15.8,13,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",854,0,10,"L2_H2",7.83476915347473,7346,238.896217939,0.35698274910955,3.11710915623069,570,127.2984812385,0.494990107084995
"L2_H3",1.77,14.925,5.65,11.789683,0.4909543,15.74,16.6,13.4,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",891,0,25,"L2_H3",7.46208596783483,6085,221.392783358,0.36015597690836,3.06048270416321,566,140.4899249825,0.488199582334914
"L2_H4",1.38,9.975,5.73,7.7528302,0.3594912,12.32,13.7,12.1,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",752,0,50,"L2_H4",7.89204709836878,7333,250.525998629,0.525801155584844,3.91082628258347,1066,169.4753378475,0.544825805509735
"L2_H5",1.46,6.875,5.39,31.953084,0.7408288,15.085,15.2,11.6,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",824,0,100,"L2_H5",7.89479050420776,7465,250.672828535,0.582284356008022,4.47960050121057,870,161.1522826465,0.521602463483047
"L2_V1",1.5,6.375,5.34,9.6109307,0.1352844,8.46,18.2,13,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",970,5,0,"L2_V1",7.62522964005809,6694,231.3459443435,0.303025209639703,3.72862649376258,678,130.8650000605,0.450330038849036
"L2_V2",1.21,11.475,5.19,10.502381,0.4358855,10.15,13.1,12.4,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",727,10,0,"L2_V2",7.77982578783486,6917,235.760153161,0.29082726191238,3.53036609706738,664,130.5499029115,0.487808350108002
"L2_V3",1.55,7.95,5.19,10.074957,0.4640451,7.265,17.2,13.5,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",921,25,0,"L2_V3",7.76049052433119,7131,243.180962994,0.30592459187065,4.15691686341036,756,139.8942195565,0.376434177106714
"L2_V4",1.41,14.2,5.27,10.845653,0.4479641,14.26,17.2,15.8,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",921,50,0,"L2_V4",7.67667174549557,6731,231.788844446,0.288511942230129,3.34877163412528,679,127.8452082115,0.443277378791847
"L2_V5",1.1,12.375,5.27,9.1528329,0.4109283,7.41,21.7,15.8,"L2","2019.07.13","Lianba Village, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.64833333,98.15533333,4245,11,"98.1553333333333E 29.6483333333333N",1153,100,0,"L2_V5",7.94999325490614,8003,268.239232694,0.388753854180432,4.36825436524311,882,152.7564177095,0.440865028886946
"L3_H0",0.05,5.85,5.61,4.398226,0.2142511,9.645,5.2,15.8,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",388,0,0,"L3_H0",8.02953083114999,8001,263.965213382,0.315205437113631,4.41737082328474,638,127.0550237075,0.487256232572614
"L3_H1",0.51,6.65,5.53,5.7603055,0.2789385,3.595,10.2,16.3,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",596,0,5,"L3_H1",7.84747875810756,7632,238.8164175465,0.323375292025831,4.55340728015329,754,134.4674531415,0.477214266794989
"L3_H2",1.09,6.525,6.09,4.7201637,0.2267759,18.28,7.1,17.1,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",465,0,10,"L3_H2",7.96240422645849,7751,255.824085642,0.330084530678219,4.06647897865812,698,119.8270149175,0.436198230394668
"L3_H3",0.57,5.95,6.27,4.2959076,0.1933315,9.85,10.7,15.3,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",619,0,25,"L3_H3",7.74947189248252,7053,240.362916466,0.337943225818414,3.80806863544795,586,115.2569118495,0.554666043386711
"L3_H4",0.69,6.775,6.2,5.2185741,0.2283713,3.895,2.5,15.2,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",284,0,50,"L3_H4",7.56372813340843,7265,250.064158894,0.41955133333977,4.12535719705401,664,119.6627326115,0.584210853891315
"L3_H5",0.73,6.45,6.17,4.7022746,0.2815733,3.145,6.7,13.9,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",450,0,100,"L3_H5",7.54204449188868,7231,226.6841088675,0.364316873028031,3.63632192309691,686,123.0244025725,0.429721482031932
"L3_V1",1.05,5.725,6.35,5.3128935,0.2738963,6.775,4.5,18,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",362,5,0,"L3_V1",7.89831646537311,7923,261.015765822,0.396209123475689,3.66801769198246,640,182.7093509075,0.480628017278521
"L3_V2",0.98,5.35,6.12,7.7738602,0.3618039,2.695,2.2,18.2,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",272,10,0,"L3_V2",7.6743212858864,7514,236.2329276055,0.453155205165369,4.32748609613071,704,154.9533166695,0.484415292459567
