"","Rs","NH4","pH","SOC","TN","NO3","Water_content","Temp.","Plot","Date","Location","Ecosystem_type","Lat.","Lon.","Elevation","Samples_per_plot","Cord.","Cond.","v_axis","h_axis","Sample_ID","Bac_shannon","Bac_richness","Bac_PD","Bac_disper","Fug_shannon","Fug_richness","Fug_PD","Fug_disper"
"L3_V3",0.4,6.6,6.1,4.5426098,0.2701999,12.195,7.2,16.3,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",469,25,0,"L3_V3",7.88424253564626,7578,235.3271526765,0.365581405840538,3.57709269574582,610,182.1048379795,0.487307446388818
"L3_V4",0.43,4,6.43,3.7887727,0.1848925,13.75,10.9,16.9,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",625,50,0,"L3_V4",7.77708376293891,7146,232.365875376,0.34320712671836,4.41350270530498,908,165.1719037465,0.497202517764034
"L3_V5",0.38,4.75,6.54,2.909115,0.1576011,11.075,7.2,16.9,"L3","2019.07.14","Jida Township, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.91533333,96.71266667,3900,11,"96.7126666666667E 29.9153333333333N",471,100,0,"L3_V5",7.68427894261965,6732,232.212973568,0.391423520404817,3.83373117524777,619,112.8869802575,0.475316097747282
"L4_H0",0.7,7.8,6.46,6.3271661,0.2744889,7.175,13.6,16.3,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",748,0,0,"L4_H0",7.94139185563928,7913,253.5230923245,0.313248906047809,4.24809950269415,722,155.5725079275,0.478153637000979
"L4_H1",1.28,4.725,6.59,6.5102015,0.2648017,7.07,16.5,14.1,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",886,0,5,"L4_H1",7.8248192926834,7579,245.3360912635,0.284454359016357,4.38916082924058,751,151.2669608075,0.427113050106723
"L4_H2",1.24,5.475,6.36,6.5279609,0.218606,12.775,17.2,13.3,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",921,0,10,"L4_H2",7.62891301450067,6886,234.406112701,0.385446124819676,4.35438064074635,720,155.1288779315,0.51646730432139
"L4_H3",2.01,4.45,6.25,5.6593224,0.2407754,9.895,15.5,12.6,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",838,0,25,"L4_H3",7.55429299704887,7362,248.927167397,0.446297707062614,4.74451378816993,884,154.7094307845,0.417462698445169
"L4_H4",0.69,5.35,6.34,7.6435447,0.2941774,9.92,19.8,12.2,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",1055,0,50,"L4_H4",7.76787063354797,7440,249.8047502675,0.303019385710453,4.3762600017345,835,163.2304957595,0.505712646791576
"L4_H5",1.3,5.85,6.3,6.9974218,0.3325592,9.185,15.4,12.9,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",831,0,100,"L4_H5",7.97477632585224,8023,256.545925423,0.320822183857751,4.21041266089818,824,159.0870739305,0.48730597845928
"L4_V1",0.73,7.575,6.22,5.4874772,0.2703617,6.385,12.8,14.3,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",710,5,0,"L4_V1",7.90022291537932,7574,252.641224805,0.391752311735867,4.49769312640382,746,134.7417432805,0.452960734375731
"L4_V2",0.8,6.55,6.06,5.2270079,0.2672875,10.27,14.5,14.5,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",789,10,0,"L4_V2",7.78171877277623,7577,240.47708252,0.311762653472474,3.73327424908506,710,139.1813205905,0.422781621288983
"L4_V3",1.06,6.25,6.32,5.3582741,0.2286928,11.345,15.6,17.3,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",842,25,0,"L4_V3",7.60302203474375,7143,230.7907485855,0.293989425518665,4.13262839551508,625,129.4043591915,0.436628168979914
"L4_V4",1.02,5.475,6.32,5.9925545,0.2639952,10.815,14.4,13.6,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",785,50,0,"L4_V4",7.8626789339439,7502,262.692408262,0.315891173203964,4.39831136923918,685,132.2107400895,0.454380503346233
"L4_V5",1.17,5.975,6.17,7.4888546,0.2693075,6.09,12.2,16.5,"L4","2019.07.14","Baiyitang, Basu County, Changdu, Tibet Autonomous Region","Alpine meadow",29.69233333,96.75366667,4420,11,"96.7536666666667E 29.6923333333333N",685,100,0,"L4_V5",7.8045154795789,7574,245.786519356,0.298109003089732,3.15625472109483,690,135.0110110175,0.569032662621815
"L5_H0",1.3,5.15,5.72,21.208416,0.6562385,18.19,25.5,19.9,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1375,0,0,"L5_H0",7.81684142014543,7135,267.928072668,0.412265842162958,4.00320003866047,1087,187.2173251755,0.577701767110915
"L5_H1",1.97,6.35,5.96,7.6895008,0.2288855,12.435,17.9,16.4,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",953,0,5,"L5_H1",7.70044196296494,6890,259.927128273,0.447697947788062,3.67663134186636,923,164.0518287355,0.595812422102722
"L5_H2",1.65,33,5.46,17.975131,0.5316988,16.935,23.7,15.6,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1268,0,10,"L5_H2",7.57172158264506,6495,237.05944819,0.44328996951983,4.65339088545925,1072,183.1642550645,0.505611561208963
"L5_H3",1.21,21.3,5.71,29.499776,0.9141769,14.91,27.9,18.5,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1527,0,25,"L5_H3",6.77261862469697,6238,249.564152247,0.472351009640482,4.20207705543663,874,170.2645613665,0.496666788520606
"L5_H4",0.9,10.125,5.78,22.78387,0.6225275,14.045,20,20.5,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1065,0,50,"L5_H4",7.9453401804518,7845,288.290440409,0.441257907945825,4.02621800363963,1081,190.2450423055,0.550368737671888
"L5_H5",1.19,5.25,5.45,19.011588,0.7400925,16.01,25.3,18.3,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1362,0,100,"L5_H5",8.20954694647203,8977,281.118728536,0.445565747256882,4.87361612123599,1436,213.1288740745,0.494640535201422
"L5_V1",1.25,33.175,5.37,21.976541,0.7959623,11.505,19.8,19.4,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1055,5,0,"L5_V1",7.85008098496016,7495,274.31157002,0.404520466491105,4.72547310748688,1295,221.2331429415,0.466962847182477
"L5_V2",1.62,7.625,5.93,14.345891,0.4728497,13.99,19,20.1,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1013,10,0,"L5_V2",7.91214271220352,8112,300.096016549,0.402989495246231,4.36428525808129,1098,184.7069441725,0.53082891926218
"L5_V3",1.28,9.65,5.7,17.850294,0.6072663,4.185,29.2,21.5,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1612,25,0,"L5_V3",8.17348139461867,8964,303.743366406,0.394654006121487,4.30988647429991,1258,220.6562932525,0.465707787743952
"L5_V4",1.24,15.525,5.41,38.798733,0.6783952,8.313,27.2,20.5,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1481,50,0,"L5_V4",8.03342488992651,7754,267.398910953,0.485992985874814,4.60620781075822,1118,188.1661648475,0.589682719975853
"L5_V5",1.3,6.05,4.91,19.203508,0.4864178,18.495,22,25.6,"L5","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.34066667,97.202,3814,11,"97.202E 29.3406666666667N",1170,100,0,"L5_V5",7.77514753351779,7547,247.802642467,0.545418899956275,3.50372028051424,637,113.7768100505,0.763964922705189
"L6_H0",1.97,3.175,5.24,7.729297,0.2376565,11.695,12.8,21,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",710,0,0,"L6_H0",7.84414134691089,7612,258.614132106,0.358947610769137,4.63416422850247,1383,209.1726875155,0.436134855702948
"L6_H1",1.65,6.75,5.12,7.9046143,0.2419462,10.843,17.2,20.4,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",921,0,5,"L6_H1",7.68012804677324,7256,254.312807004,0.421538821922745,4.09140448040563,928,146.3243927115,0.328435585529186
"L6_H2",1.21,10.825,5.34,6.9760277,0.2318257,14.05,15.7,19.2,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",845,0,10,"L6_H2",7.4980665760313,6801,251.535637552,0.427781181231038,4.16246306170685,946,147.4059517425,0.329221205918306
"L6_H3",0.9,5.575,5.29,7.2912657,0.2453591,17.12,15.8,20.9,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",854,0,25,"L6_H3",7.45801653464105,7122,248.613428128,0.454818454156453,4.07101923353632,918,153.0357674035,0.451201716496387
"L6_H4",1.19,12.275,5.43,7.0253183,0.2509004,11.065,17,20.3,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",909,0,50,"L6_H4",7.92556270227359,8024,275.600058635,0.387849802977287,4.7608771704468,886,148.2382836915,0.596967146267753
"L6_H5",4.13,34.125,5.51,27.207118,1.0559714,53.41,5.7,23.9,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",407,0,100,"L6_H5",6.76948153866479,7102,253.431012391,0.618220811942976,5.01706715500974,951,139.9675047035,0.72830669999883
"L6_V1",1.25,4.325,5.88,6.5026183,0.2150678,14.179,6.8,24.5,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",454,5,0,"L6_V1",7.90608509395295,8401,271.747506258,0.428678563972682,4.35930350223786,802,138.1857389635,0.364250213646138
"L6_V2",1.62,1.675,5.97,2.7809426,0.1932391,15.165,15.7,22.9,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",847,10,0,"L6_V2",7.76064114702758,7675,267.416131704,0.338820973959464,2.09709136607556,489,90.7249206315,0.595334112085142
"L6_V3",1.28,9.575,5.86,9.5598158,0.2444755,15.89,7,22.3,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",460,25,0,"L6_V3",7.90350416304194,7829,261.367934064,0.349444237726329,3.97404960467992,604,110.7821725225,0.342800153767201
"L6_V4",1.24,4.1,5.96,6.443354,0.1873823,14.96,4.7,24.3,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",369,50,0,"L6_V4",7.79543865232228,7849,269.300098073,0.362563091494477,3.64576186770934,529,98.9732495995,0.378295876103001
"L6_V5",1.3,4.875,5.99,7.1500701,0.1901218,11.455,8.3,21.8,"L6","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.32766667,97.21066667,3655,11,"97.2106666666667E 29.3276666666667N",516,100,0,"L6_V5",7.88514716773286,8129,268.260183484,0.37690774635645,3.36096057123648,738,144.2418381375,0.420767158195666
"L7_H0",5.35,5.35,5.5,32.874627,0.5054737,6.165,18.8,28.8,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",1003,0,0,"L7_H0",8.00136147447402,8654,282.919807876,0.466144075520339,3.85041110060365,615,115.3914514355,0.680675209313632
"L7_H1",5.32,6.125,5.49,20.205574,0.4839858,20.88,3,24.9,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",303,0,5,"L7_H1",7.99667006094873,8508,280.754997503,0.391663772387095,3.96565335657458,786,121.6972158045,0.590973045312405
"L7_H2",2.26,7.425,5.86,8.39597,0.1810834,15.985,19,27.5,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",1013,0,10,"L7_H2",7.95204698129424,8344,273.927429275,0.424124317733024,4.56117662405587,863,132.1481713745,0.422951205679052
"L7_H3",1.64,15.15,5.77,16.729323,0.3207887,17.87,13.1,25.5,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",727,0,25,"L7_H3",7.78086097540576,7798,266.120086986,0.466458842279058,2.67394472614396,687,125.1328818085,0.6792484120349
"L7_H4",5.26,12.95,5.6,26.467046,0.5320515,16.945,6.4,25.4,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",437,0,50,"L7_H4",7.81844762774073,7822,250.974084758,0.433055816273992,3.39169660258982,786,135.0478818525,0.599135277215256
"L7_H5",1.26,12.625,5.62,43.746929,0.6228739,18.915,12.4,28.1,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",692,0,100,"L7_H5",8.25767585778599,9360,290.054116673,0.481644737326942,3.83467720977432,727,131.3926753375,0.700378450477397
"L7_V1",1.76,4.025,5.46,15.75627,0.4071912,53.85,15.9,27.9,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",858,5,0,"L7_V1",7.82898401370001,6885,231.558453161,0.608875877669678,4.10245844619131,672,104.9631344705,0.442480785670409
"L7_V2",5.73,6.125,6.07,9.3732808,0.200164,22.79,24.2,30.4,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",1295,10,0,"L7_V2",7.72845888778037,7447,247.082151155,0.399537312637544,4.64936068136307,1017,147.3517196165,0.427166518171144
"L7_V3",3.34,10.325,6.14,5.0390331,0.118768,16.515,14.5,32.3,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",789,25,0,"L7_V3",7.6601156859149,7171,240.281368181,0.412633852793798,3.89735995642433,722,130.8859182185,0.443737719084823
"L7_V4",1.87,10.175,5.85,42.663795,0.5220635,19.58,16,31.1,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",863,50,0,"L7_V4",7.9519410869921,8938,276.0450648355,0.396189828190515,4.46913564899574,871,147.4101568575,0.527016553647165
"L7_V5",1.21,7.05,5.98,8.7342941,0.1293692,15.655,10,31.7,"L7","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Coniferous forest",29.12166667,97.27,3124,11,"97.27E 29.1216666666667N",586,100,0,"L7_V5",7.70897883499691,7747,255.518347283,0.39122189288159,3.61741283535373,547,96.1816436725,0.445759924516986
"L8_H0",3.86,4.025,5.51,19.093836,0.6509796,15.985,5.3,25.8,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",394,0,0,"L8_H0",8.07641992557,7551,251.7172155635,0.547815893579534,4.94599896275194,1384,217.3820559085,0.612739442265364
"L8_H1",1.97,7.975,5.58,32.842517,0.8731165,36.9,18.2,26.6,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",968,0,5,"L8_H1",8.29141024927715,8467,258.804497303,0.432326382714013,3.98248713736045,1261,192.0115134825,0.619557261208349
"L8_H2",0.95,39.925,5.85,28.724352,0.896239,49.72,18,22.2,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",958,0,10,"L8_H2",8.15529753441277,8819,265.755507784,0.380584994097943,4.51344200865346,1165,176.3716186685,0.52725061665271
"L8_H3",1.21,23.375,6.01,20.195567,0.6274542,28.265,11.8,23.4,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",665,0,25,"L8_H3",8.30106763637564,9416,306.422462011,0.428018208324802,4.35430816977492,1284,213.8633646045,0.565108864200671
"L8_H4",1.7,31.85,5.1,36.524619,0.5988895,62.225,10.5,25,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",609,0,50,"L8_H4",7.82449863853101,7515,243.465518592,0.48071625990076,1.643021125547,732,138.2447756805,0.67716487942681
"L8_H5",2.6,3.975,5.59,3.5511852,0.1880804,9.945,11.9,25.2,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",673,0,100,"L8_H5",7.79469604705085,7111,268.490854801,0.670734299061531,3.53330393652243,866,145.6767185645,0.694279357622757
"L8_V1",2.81,28,5.24,35.93894,1.2228853,46.415,3.3,25.4,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",515,5,0,"L8_V1",8.35374844776003,9281,290.296420947,0.385322816247665,3.70665871416424,1162,195.7411138315,0.595863777310707
"L8_V2",3.55,43.35,5.2,43.583257,1.2308043,32.01,6.7,25.2,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",448,10,0,"L8_V2",8.17381600583463,9058,277.746762314,0.369852476793942,2.70854091791509,1014,174.3371538015,0.524614614477524
"L8_V3",2.57,46.25,5.13,41.497643,1.0797491,20.65,11.4,24.8,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",651,25,0,"L8_V3",8.27787942805785,8987,270.068746552,0.346018683954424,3.35321640030908,1147,186.9025667755,0.492955123114591
"L8_V4",2.16,5.125,5.8,26.93001,0.6723651,26.9,14.9,25,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",311,50,0,"L8_V4",8.31603607735716,9702,301.900352446,0.425172220922362,3.98126686609185,1114,178.0577916385,0.597764408216647
"L8_V5",2.72,40.2,5.48,32.920263,1.0727878,33.755,3.9,25.4,"L8","2019.07.17","Chayu County, Linzhi City, Tibet Autonomous Region","Mixed forest",28.86333333,97.50433333,2629,11,"97.5043333333333E 28.8633333333333N",338,100,0,"L8_V5",8.15211314184275,8707,262.729116845,0.381951849459608,4.18321672160153,1336,201.8535570865,0.597622277074193
"L9_H0",0.3,3.95,6.2,1.4388216,0.1207462,1.465,2.3,37.6,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",277,0,0,"L9_H0",7.8367068305386,6882,232.274255704,0.438365123815323,4.30831103399286,886,155.7855063975,0.545410496200463
"L9_H1",0.97,4.875,6.27,2.1918443,0.1445427,2.485,3.9,38.4,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",338,0,5,"L9_H1",8.12851158712566,7990,268.449057631,0.356163753392054,5.05954682718295,1197,181.7037720345,0.42579240713574
"L9_H2",0.82,4.075,6.3,1.8979932,0.1155272,3.53,3,37.3,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",301,0,10,"L9_H2",8.11947085197981,7531,257.471306008,0.373551588084429,4.97916962755666,1092,175.6579547725,0.499506611445552
"L9_H3",0.62,4.45,6.42,1.8997988,0.1418118,7.335,1.5,39.7,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",246,0,25,"L9_H3",8.05073235657869,7249,242.468774848,0.355552074064201,4.18565761799241,890,155.7401993785,0.553189682175927
"L9_H4",0.7,4.325,6.35,1.7197198,0.0934899,2.555,0.5,39.9,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",208,0,50,"L9_H4",8.1350832241403,8003,269.591002306,0.408065771969596,4.75864927851829,1122,175.2007188345,0.443955243314761
"L9_H5",0.36,4.4,6.49,1.0695534,0.0907819,1.685,2.7,36.6,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",293,0,100,"L9_H5",8.07091272423703,7741,260.790025913,0.431520501593454,4.60017145777814,1087,170.2451818775,0.53508207409134
"L9_V1",0.72,4.2,6.53,1.8750862,0.1139679,1.945,2,39.2,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",223,5,0,"L9_V1",8.15242720335501,8066,262.83309974,0.337361711724196,2.68355651104289,830,143.5661336035,0.579229315541934
"L9_V2",0.78,4.35,6.56,2.0968632,0.1527132,2.2,2.2,39.3,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",272,10,0,"L9_V2",8.14041671931141,8441,283.838693318,0.365578118126056,3.64879463646127,850,144.7906604455,0.565378350921278
"L9_V3",0.64,4.25,6.7,2.3802916,0.1601147,2.755,1.9,40.1,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",262,25,0,"L9_V3",8.16764163075496,8204,264.407616509,0.321725036597731,4.32870039186341,1066,170.5251406505,0.50400091878168
"L9_V4",0.81,4.525,6.54,2.5819445,0.1510972,1.96,1.3,38.7,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",240,50,0,"L9_V4",8.07808045222635,8083,279.98505492,0.359203618436263,4.81973294090707,1020,166.6391717175,0.489982493322535
"L9_V5",0.39,4.475,6.92,2.3843143,0.1522943,0.92,1.2,42.4,"L9","2019.07.18","Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region","Dry-hot valley",28.56766667,98.40866667,2013,11,"98.4086666666667E 28.5676666666667N",235,100,0,"L9_V5",7.93549127156216,7515,256.17139142,0.393807578558314,4.87612223774561,1155,186.6647831025,0.594977230171615
